Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
18366652,Onesta,Bangalore,"215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore","Pizza, Cafe, Italian",4.6
18430785,Communiti,Bangalore,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Continental,4.2
58882,Big Brewsky,Bangalore,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore","Finger Food, North Indian, Italian, Continental, Thai, South Indian",4.5
18422898,Hoot,Bangalore,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","Continental, Italian, North Indian",3.9
18339874,Farzi Cafe,Bangalore,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Modern Indian,4.4
2600472,Black N White Cafe,Bhopal,"G-1, Raksha Tower, Eden Garden, Arera Colony, Bhopal","Cafe, Chinese, North Indian",3.3
2600514,Maybe There,Bhopal,"4th floor,10th Cross Road Building, Above Vishal Fitness Centre, 10 Main Road, Arera Colony, Bhopal",Cafe,3.4
2600109,Sagar Gaire Fast Food,Bhopal,"10, Number Market, Arera Colony, Bhopal",Fast Food,4.9
2600311,The Kasbah,Bhopal,"110/7, Mandakini, Opposite Union Bank, Kolar Main Road, Arera Colony, Bhopal","North Indian, Chinese",3.9
2600008,Bake N Shake,Bhopal,"B-1, GM Tower,  Stop No. 10, Arera Colony, Bhopal",Fast Food,4.2
2600031,10 Downing Street,Bhopal,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal","North Indian, Chinese",4.0
2600250,Chi Kitchen,Bhopal,"12-13, Food Court, DB City Mall, Maharana Pratap Nagar, Bhopal",Chinese,4.0
2600025,Pizza Hut,Bhopal,"Third Floor, DB City Mall, Arera Hills, Maharana Pratap Nagar, Bhopal",Pizza,4.1
2600494,Kafe Kulture,Bhopal,"A-66A, Jai Bhawani Housing Society, Bawadiyan Kalan, Gulmohar Colony, Bhopal","Cafe, Fast Food",3.8
18108352,Violet Hour,Bhopal,"Shop 3-4, Plot 5B, Sai Mehndi Appartment, B.D.A,  Kohefiza Main Road, Kohefiza, Bhopal",Bakery,3.8
2600079,Bapu Ki Kutia,Bhopal,"Behind Jyoti Cineplex, Zone 1, Maharana Pratap Nagar, Bhopal","North Indian, Chinese, South Indian, Fast Food",3.5
2600340,Da pizzeria,Bhopal,"177, Zone 2, Maharana Pratap Nagar, Bhopal","Pizza, Italian, Fast Food",3.6
18461339,Papa Mexicano,Bhopal,"R-24, Zone II, Maharana Pratap Nagar, Bhopal","Fast Food, Mexican, Tex-Mex",3.6
2600010,Bake N Shake,Bhopal,"Near Jyoti Cineplex, Zone 1, Maharana Pratap Nagar, Bhopal",Fast Food,4.1
2600230,Manohar Dairy And Restaurant,Bhopal,"132, Zone 1, Maharana Pratap Nagar, Bhopal","North Indian, South Indian, Street Food, Bakery",4.4
2600003,Manohar Dairy And Restaurant,Bhopal,"6, Hamidia Road, Opposite Alpana Cineplex, Peer Gate Area, Bhopal","North Indian, South Indian, Street Food, Bakery",4.1
2600303,Kebabsville - Sayaji Hotel,Bhopal,"A-3,Van Vihar Road, Prempura, TT Nagar, Bhopal",North Indian,4.3
